# E(eV),Radius(Rp),Tau
1.995941605209574163e+03,2.231305172531076431e+10,1.406141612862367567e-06
1.995941605209574163e+03,2.274063823641791916e+10,1.298142294396088924e-06
1.995941605209574163e+03,2.316822474752507019e+10,1.200602227343776920e-06
1.995941605209574163e+03,2.359581125863221741e+10,1.108822998175217945e-06
1.995941605209574163e+03,2.402339776973937225e+10,1.028398797302497860e-06
1.995941605209574163e+03,2.445098428084652710e+10,9.549538658635901146e-07
1.995941605209574163e+03,2.487857079195367432e+10,8.839030561273078759e-07
1.995941605209574163e+03,2.530615730306082535e+10,8.229857576706885230e-07
1.995941605209574163e+03,2.573374381416798019e+10,7.645145311307400977e-07
1.995941605209574163e+03,2.616133032527513123e+10,7.110012435361875355e-07
1.995941605209574163e+03,2.658891683638228226e+10,6.634885324110538555e-07
1.995941605209574163e+03,2.701650334748943329e+10,6.163617251703748595e-07
1.995941605209574163e+03,2.744408985859658432e+10,5.770231487479925071e-07
1.995941605209574163e+03,2.787167636970373917e+10,5.372277478327223060e-07
1.995941605209574163e+03,2.829926288081089020e+10,5.027729725683319787e-07
1.995941605209574163e+03,2.872684939191804123e+10,4.706900836693031190e-07
1.995941605209574163e+03,2.915443590302519226e+10,4.394665550348371424e-07
1.995941605209574163e+03,2.958202241413234711e+10,4.101965552961024466e-07
1.995941605209574163e+03,3.000960892523949814e+10,3.851430845030560803e-07
1.995941605209574163e+03,3.043719543634664536e+10,3.618427564696365255e-07
1.995941605209574163e+03,3.086478194745380020e+10,3.383317709159829126e-07
1.995941605209574163e+03,3.129236845856095505e+10,3.165150843390713512e-07
1.995941605209574163e+03,3.171995496966810226e+10,2.979317038339853628e-07
1.995941605209574163e+03,3.214754148077525330e+10,2.780220924232667735e-07
1.995941605209574163e+03,3.257512799188240814e+10,2.613716696466370054e-07
1.995941605209574163e+03,3.300271450298955917e+10,2.455297802300466294e-07
1.995941605209574163e+03,3.343030101409671402e+10,2.292042538185758266e-07
1.995941605209574163e+03,3.385788752520386124e+10,2.164623643679468174e-07
1.995941605209574163e+03,3.428547403631101227e+10,2.024912315486554543e-07
1.995941605209574163e+03,3.471306054741816711e+10,1.899703977883431036e-07
1.995941605209574163e+03,3.514064705852531433e+10,1.763275906979942021e-07
1.995941605209574163e+03,3.556823356963246918e+10,1.666874048401834934e-07
1.995941605209574163e+03,3.599582008073962402e+10,1.544413390354028126e-07
1.995941605209574163e+03,3.642340659184677124e+10,1.450081609628235640e-07
1.995941605209574163e+03,3.685099310295392609e+10,1.351168486596982795e-07
1.995941605209574163e+03,3.727857961406107330e+10,1.248132359006045778e-07
1.995941605209574163e+03,3.770616612516822815e+10,1.179976349845754721e-07
1.995941605209574163e+03,3.813375263627538300e+10,1.085886452724506520e-07
1.995941605209574163e+03,3.856133914738253021e+10,9.966254712187416597e-08
1.995941605209574163e+03,3.898892565848967743e+10,9.119040156182948620e-08
1.995941605209574163e+03,3.941651216959683228e+10,8.314290763453587163e-08
1.995941605209574163e+03,3.984409868070398712e+10,7.550513496239569453e-08
1.995941605209574163e+03,4.027168519181114197e+10,6.827790835715105323e-08
1.995941605209574163e+03,4.069927170291828918e+10,6.139316945434181924e-08
1.995941605209574163e+03,4.112685821402544403e+10,5.174609811934571514e-08
1.995941605209574163e+03,4.155444472513259125e+10,4.421803678818333232e-08
1.995941605209574163e+03,4.198203123623973846e+10,3.468420580836270088e-08
1.995941605209574163e+03,4.240961774734689331e+10,2.255491660834977851e-08
1.992287787500658624e+03,0.000000000000000000e+00,2.619617888776520909e-01
